instance_uid,foliage_actor,component_index,component_name,mesh_name,mesh_path,instance_index,x_cm,y_cm,z_cm,x_m,y_m,z_m,pitch_deg,yaw_deg,roll_deg,scale_x,scale_y,scale_z,ndvi_class,NDVI
InstancedFoliageActor|0|22,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,22,-29100,-9074.644531,83.87597656,-291,-90.74644531,0.838759766,0,-153.0405121,0,1,1,1,MEDIUM_TREE,0.573790
InstancedFoliageActor|0|23,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,23,-28100,-4899.998047,174.9013759,-281,-48.99998047,1.749013759,0,2.266960144,0,1,1,1,MEDIUM_TREE,0.718265
InstancedFoliageActor|0|24,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,24,-29219.23633,1248.156372,119.2402344,-292.1923633,12.48156372,1.192402344,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.787213
InstancedFoliageActor|0|25,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,25,-28300,2372.200928,105.9365322,-283,23.72200928,1.059365322,0,-15.39628315,0,1,1,1,MEDIUM_TREE,0.586687
InstancedFoliageActor|0|26,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,26,-28057.28711,1153.837646,174.5498135,-280.5728711,11.53837646,1.745498135,0,96.508461,0,1,1,1,MEDIUM_TREE,0.697788
InstancedFoliageActor|0|27,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,27,-24620.05273,6461.411621,78.15625,-246.2005273,64.61411621,0.7815625,0,177.3229828,0,1,1,1,MEDIUM_TREE,0.674678
InstancedFoliageActor|0|28,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,28,-29219.23828,11255.96484,229.3085938,-292.1923828,112.5596484,2.293085938,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.770819
InstancedFoliageActor|0|29,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,29,-28295.95313,12360.49316,191.1679688,-282.9595313,123.6049316,1.911679688,0,-15.39628315,0,1,1,1,MEDIUM_TREE,0.429620
InstancedFoliageActor|0|30,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,30,-28096.26563,11149.91016,217.635751,-280.9626563,111.4991016,2.17635751,0,96.508461,0,1,1,1,MEDIUM_TREE,0.732285
InstancedFoliageActor|0|31,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,31,-24623.46289,16476.53906,137.5917969,-246.2346289,164.7653906,1.375917969,0,177.3229828,0,1,1,1,MEDIUM_TREE,0.357386
InstancedFoliageActor|0|32,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,32,-29055.38672,20944.61719,110.4960938,-290.5538672,209.4461719,1.104960938,0,-153.0405121,0,1,1,1,MEDIUM_TREE,0.158410
InstancedFoliageActor|0|33,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,33,-28074.54102,25082.91211,198.7851563,-280.7454102,250.8291211,1.987851563,0,2.266960144,0,1,1,1,MEDIUM_TREE,0.520760
InstancedFoliageActor|0|34,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,34,-24578.24219,30968.80859,30.03222656,-245.7824219,309.6880859,0.300322266,0,178.6085968,0,1,1,1,MEDIUM_TREE,0.465154
InstancedFoliageActor|0|35,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,35,-19331.40625,-36731.40625,93.734375,-193.3140625,-367.3140625,0.93734375,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.787682
InstancedFoliageActor|0|36,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,36,-18137.49023,-37600,110.9296875,-181.3749023,-376,1.109296875,0,31.99600029,0,1,1,1,MEDIUM_TREE,0.749568
InstancedFoliageActor|0|37,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,37,-17434.20898,-33500,257.8388766,-174.3420898,-335,2.578388766,0,177.3229828,0,1,1,1,MEDIUM_TREE,0.410567
InstancedFoliageActor|0|38,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,38,-16971.89258,-36920.5,152.4638766,-169.7189258,-369.205,1.524638766,0,-46.76944733,0,1,1,1,MEDIUM_TREE,0.782525
InstancedFoliageActor|0|39,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,39,-13920.15625,-35300,284.5703125,-139.2015625,-353,2.845703125,0,98.50505829,0,1,1,1,MEDIUM_TREE,0.449603
InstancedFoliageActor|0|40,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,40,-12616.87988,-30816.87695,216.65625,-126.1687988,-308.1687695,2.1665625,0,81.98644257,0,1,1,1,MEDIUM_TREE,0.614476
InstancedFoliageActor|0|41,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,41,-12648.98438,-32724.73438,252.4882813,-126.4898438,-327.2473438,2.524882813,0,-81.63653564,0,1,1,1,MEDIUM_TREE,0.577098
InstancedFoliageActor|0|42,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,42,-10965.96777,-32382.8418,260.9492188,-109.6596777,-323.828418,2.609492188,0,104.5803909,0,1,1,1,MEDIUM_TREE,0.650596
InstancedFoliageActor|0|43,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,43,-14550.96973,-29035.05273,105,-145.5096973,-290.3505273,1.05,0,178.6085968,0,1,1,1,MEDIUM_TREE,0.777355
InstancedFoliageActor|0|44,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,44,-19110.21484,-19039.5293,252.5048828,-191.1021484,-190.395293,2.525048828,0,-153.0405121,0,1,1,1,MEDIUM_TREE,0.744914
InstancedFoliageActor|0|45,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,45,-18100,-14901.66699,334.385752,-181,-149.0166699,3.34385752,0,2.266960144,0,1,1,1,MEDIUM_TREE,0.692979
InstancedFoliageActor|0|46,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,46,-14566.58789,-8961.160156,115.5585938,-145.6658789,-89.61160156,1.155585938,0,178.6085968,0,1,1,1,MEDIUM_TREE,0.746991
InstancedFoliageActor|0|47,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,47,-14554.83789,1000.000122,365.2929688,-145.5483789,10.00000122,3.652929688,0,178.6085968,0,1,1,1,MEDIUM_TREE,0.716129
InstancedFoliageActor|0|48,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,48,-17600,16100.00098,44.43262782,-176,161.0000098,0.444326278,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.517143
InstancedFoliageActor|0|49,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,49,-15504.03809,17578.65234,-72.60546875,-155.0403809,175.7865234,-0.726054688,0,-15.39628315,0,1,1,1,MEDIUM_TREE,0.500873
InstancedFoliageActor|0|50,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,50,-14735.50391,14364.49707,18.97265625,-147.3550391,143.6449707,0.189726563,0,-12.6607275,0,1,1,1,MEDIUM_TREE,0.545406
InstancedFoliageActor|0|51,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,51,-14493.64844,16995.63477,-108.8125,-144.9364844,169.9563477,-1.088125,0,96.508461,0,1,1,1,MEDIUM_TREE,0.719879
InstancedFoliageActor|0|52,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,52,-13929.20801,12350.57129,4.39822943,-139.2920801,123.5057129,0.043982294,0,95.94374084,0,1,1,1,MEDIUM_TREE,0.584979
InstancedFoliageActor|0|53,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,53,-13912.05957,19115.55664,-77.86328125,-139.1205957,191.1555664,-0.778632813,0,31.99600029,0,1,1,1,MEDIUM_TREE,1.000000
InstancedFoliageActor|0|54,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,54,-17600.69336,26115.37305,108.2689583,-176.0069336,261.1537305,1.082689583,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.482527
InstancedFoliageActor|0|55,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,55,-15500,27600,34.28125,-155,276,0.3428125,0,-15.39628315,0,1,1,1,MEDIUM_TREE,0.432203
InstancedFoliageActor|0|56,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,56,-14769.12207,24400.00195,71.4140625,-147.6912207,244.0000195,0.714140625,0,-12.6607275,0,1,1,1,MEDIUM_TREE,0.768325
InstancedFoliageActor|0|57,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,57,-14466.31641,26999.53906,8.771484375,-144.6631641,269.9953906,0.087714844,0,96.508461,0,1,1,1,MEDIUM_TREE,0.885933
InstancedFoliageActor|0|58,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,58,-13900,22400.00391,34.26953125,-139,224.0000391,0.342695313,0,95.94374084,0,1,1,1,MEDIUM_TREE,0.721025
InstancedFoliageActor|0|59,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,59,-13919.86621,29099.93555,9.59375,-139.1986621,290.9993555,0.0959375,0,31.99600029,0,1,1,1,MEDIUM_TREE,0.780447
InstancedFoliageActor|0|60,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,60,-19356.30273,33270.08203,-3.999023438,-193.5630273,332.7008203,-0.039990234,0,-138.6079865,0,1,1,1,MEDIUM_TREE,0.886742
InstancedFoliageActor|0|61,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,61,-18200.12109,31194.19336,-3.172851563,-182.0012109,311.9419336,-0.031728516,0,-153.0405121,0,1,1,1,MEDIUM_TREE,0.613075
InstancedFoliageActor|0|62,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,62,-18145.2207,32361.35352,23.54200147,-181.452207,323.6135352,0.235420015,0,31.99600029,0,1,1,1,MEDIUM_TREE,0.373867
InstancedFoliageActor|0|63,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,63,-17497.44922,36502.55078,-1.676748527,-174.9744922,365.0255078,-0.016767485,0,177.3229828,0,1,1,1,MEDIUM_TREE,0.534226
InstancedFoliageActor|0|64,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,64,-17010.92383,33071.69531,8.061523438,-170.1092383,330.7169531,0.080615234,0,-46.76944733,0,1,1,1,MEDIUM_TREE,0.801521
InstancedFoliageActor|0|65,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,65,-13975.7832,34724.21875,12.78613281,-139.757832,347.2421875,0.127861328,0,98.50505829,0,1,1,1,MEDIUM_TREE,0.370138
InstancedFoliageActor|0|66,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,66,-12699.62793,39200.37109,6.9375,-126.9962793,392.0037109,0.069375,0,81.98644257,0,1,1,1,MEDIUM_TREE,0.636036
InstancedFoliageActor|0|67,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,67,-12667.9834,37232.01563,5.907226563,-126.679834,372.3201563,0.059072266,0,-81.63653564,0,1,1,1,MEDIUM_TREE,0.675583
InstancedFoliageActor|0|68,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,68,-10958.15234,37600,17.5390625,-109.5815234,376,0.175390625,0,104.5803909,0,1,1,1,MEDIUM_TREE,0.573193
InstancedFoliageActor|0|69,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,69,-5972.270508,-32099.99805,91.44043911,-59.72270508,-320.9999805,0.914404391,0,127.9296265,0,1,1,1,MEDIUM_TREE,0.760254
InstancedFoliageActor|0|70,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,70,-4790.881836,-31859.93164,89.26075161,-47.90881836,-318.5993164,0.892607516,0,106.5489349,0,1,1,1,MEDIUM_TREE,0.734540
InstancedFoliageActor|0|71,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,71,-2822.235352,-39250.44531,-4.01171875,-28.22235352,-392.5044531,-0.040117188,0,78.49702454,0,1,1,1,MEDIUM_TREE,1.000000
InstancedFoliageActor|0|72,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,72,-2398.661133,-36136.58594,64.3515625,-23.98661133,-361.3658594,0.643515625,0,-150.8902588,0,1,1,1,MEDIUM_TREE,0.741594
InstancedFoliageActor|0|73,InstancedFoliageActor,0,FoliageInstancedStaticMeshComponent_0,SM_Tree_M_01,/Game/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01,73,-5927.587891,-22127.58789,444.354502,-59.27587891,-221.2758789,4.44354502,0,127.9296265,0,1,1,1,MEDIUM_TREE,0.520307
